gf,ga,xg,xga,poss,attendance,sh,sot,dist,fk,pk,pkatt,season,result
0,2,1.7,2.7,37.0,10266.0,14.0,3.0,15.8,0.0,0,0,2022,0.0
1,1,0.6,1.4,42.0,17051.0,13.0,4.0,20.4,0.0,0,0,2022,0.5
3,0,0.7,1.1,51.0,20957.0,10.0,5.0,17.9,0.0,0,0,2021,1.0
2,1,1.8,0.8,61.0,36740.0,21.0,6.0,17.3,0.0,0,0,2022,1.0
2,3,1.1,1.8,63.0,59942.0,19.0,7.0,17.5,0.0,0,0,2021,0.0
3,1,1.9,0.3,78.0,61339.0,14.0,6.0,13.5,0.0,0,0,2023,1.0
0,0,0.9,0.5,47.0,23091.0,14.0,3.0,18.0,1.0,0,0,2021,0.5
0,5,0.8,3.1,29.0,53336.0,7.0,3.0,16.5,0.0,0,0,2021,0.0
3,2,2.1,1.1,32.0,39647.0,7.0,3.0,19.6,0.0,1,1,2023,1.0
1,2,1.0,3.1,44.0,59888.0,6.0,2.0,14.8,0.0,0,0,2021,0.0
0,4,0.2,2.4,35.0,53365.0,5.0,0.0,28.1,0.0,0,0,2022,0.0
0,8,0.9,3.9,42.0,31127.0,9.0,1.0,13.7,0.0,0,0,2023,0.0
2,0,1.5,0.3,59.0,25034.0,17.0,5.0,15.2,0.0,0,0,2022,1.0
1,3,1.6,2.4,36.0,60278.0,6.0,2.0,19.9,0.0,1,1,2022,0.0
1,2,0.6,1.0,59.0,26629.0,12.0,5.0,17.0,1.0,0,0,2021,0.0
0,3,1.2,2.1,40.0,23508.0,12.0,6.0,15.0,0.0,0,0,2022,0.0
2,1,0.8,0.8,55.0,53466.0,10.0,5.0,18.8,1.0,0,0,2023,1.0
2,0,1.2,0.7,47.0,41964.0,9.0,1.0,19.5,0.0,1,1,2021,1.0
0,1,0.4,0.8,39.0,39112.0,7.0,2.0,20.5,1.0,0,0,2021,0.0
1,3,1.8,2.4,44.0,42189.0,13.0,4.0,16.4,0.0,1,1,2023,0.0
2,1,0.9,1.3,50.0,21319.0,11.0,3.0,13.2,0.0,0,0,2023,1.0
1,1,0.5,1.9,36.0,73564.0,6.0,3.0,15.9,0.0,0,0,2021,0.5
1,1,0.8,2.1,47.0,73084.0,13.0,4.0,21.1,0.0,0,0,2021,0.5
1,3,0.3,2.7,26.0,52951.0,5.0,3.0,31.4,2.0,0,0,2021,0.0
2,1,1.1,0.8,45.0,11152.0,13.0,6.0,19.5,2.0,0,0,2023,1.0
5,2,2.4,1.3,60.0,25145.0,18.0,7.0,16.6,1.0,0,0,2023,1.0
3,1,1.8,0.6,82.0,60055.0,29.0,9.0,18.1,1.0,0,0,2023,1.0
3,3,1.6,4.2,28.0,31493.0,7.0,5.0,15.6,1.0,0,0,2022,0.5
1,2,1.5,1.2,59.0,49940.0,18.0,5.0,16.7,1.0,0,0,2021,0.0
1,1,1.6,1.7,53.0,31425.0,18.0,4.0,16.6,0.0,0,0,2023,0.5
3,2,2.9,1.6,67.0,61210.0,19.0,5.0,14.3,0.0,0,0,2023,1.0
0,7,0.1,3.1,38.0,40113.0,3.0,1.0,20.8,0.0,0,0,2021,0.0
1,1,0.9,1.1,64.0,31219.0,17.0,4.0,20.8,1.0,0,0,2021,0.5
3,0,2.5,0.4,64.0,25176.0,23.0,10.0,13.4,1.0,0,0,2022,1.0
2,1,1.8,0.6,32.0,52104.0,16.0,7.0,15.4,1.0,0,0,2021,1.0
2,1,1.6,1.0,53.0,20738.0,17.0,6.0,15.9,1.0,0,0,2021,1.0
3,1,1.9,1.1,60.0,53331.0,15.0,7.0,12.4,0.0,0,0,2022,1.0
4,0,2.9,0.3,71.0,52127.0,18.0,7.0,12.9,0.0,0,0,2021,1.0
4,0,2.9,0.6,60.0,41694.0,12.0,6.0,18.5,0.0,1,1,2023,1.0
1,1,1.3,1.4,35.0,40096.0,13.0,1.0,17.8,0.0,0,0,2023,0.5
1,2,1.3,1.5,55.0,31555.0,12.0,2.0,15.3,0.0,0,0,2023,0.0
0,1,0.7,0.7,61.0,29404.0,13.0,2.0,16.1,0.0,0,0,2023,0.0
1,0,1.0,0.3,56.0,53319.0,11.0,6.0,16.5,1.0,0,0,2021,1.0
2,0,0.4,1.2,27.0,29313.0,5.0,3.0,21.1,0.0,0,0,2023,1.0
5,1,2.3,3.2,22.0,31567.0,10.0,5.0,12.8,0.0,0,0,2022,1.0
2,0,2.2,0.5,33.0,62470.0,11.0,4.0,11.9,0.0,0,0,2022,1.0
2,2,1.2,1.8,69.0,36293.0,17.0,4.0,20.9,0.0,0,0,2021,0.5
0,1,1.8,2.0,56.0,30953.0,10.0,2.0,18.0,1.0,0,0,2022,0.0
0,1,1.6,0.8,50.0,38203.0,15.0,0.0,14.1,2.0,0,0,2021,0.0
0,2,0.7,1.7,50.0,73012.0,10.0,3.0,18.9,0.0,0,0,2021,0.0
1,3,1.1,1.9,39.0,31617.0,12.0,3.0,17.6,1.0,0,0,2023,0.0
3,1,1.8,1.4,54.0,39241.0,21.0,7.0,17.9,0.0,0,0,2022,1.0
1,4,1.4,2.4,59.0,31746.0,15.0,7.0,18.3,0.0,0,0,2022,0.0
1,0,1.4,0.5,37.0,30150.0,11.0,1.0,22.3,0.0,0,0,2022,1.0
1,0,1.2,0.6,57.0,73592.0,14.0,6.0,19.0,0.0,0,0,2022,1.0
2,0,1.5,0.6,52.0,73677.0,28.0,10.0,21.4,1.0,0,0,2022,1.0
1,2,0.6,1.1,38.0,31359.0,8.0,3.0,16.4,0.0,0,0,2021,0.0
1,2,0.8,1.1,55.0,11152.0,6.0,3.0,18.0,0.0,0,0,2023,0.0
2,1,1.2,1.5,41.0,49940.0,13.0,6.0,13.9,1.0,0,0,2021,1.0
1,2,0.4,1.1,36.0,25198.0,7.0,3.0,20.1,0.0,0,0,2022,0.0
3,0,1.7,1.6,58.0,50151.0,17.0,10.0,19.0,0.0,0,0,2023,1.0
3,0,1.4,0.9,46.0,38939.0,9.0,6.0,16.8,0.0,0,0,2022,1.0
1,2,1.6,1.8,52.0,21361.0,12.0,4.0,15.7,1.0,0,0,2021,0.0
1,4,1.0,2.4,35.0,10481.0,13.0,2.0,14.2,0.0,0,0,2022,0.0
4,0,3.4,0.4,59.0,52233.0,19.0,6.0,16.3,0.0,1,1,2022,1.0
0,1,1.7,0.9,69.0,10536.0,14.0,5.0,18.5,0.0,0,1,2022,0.0
4,0,4.3,0.4,62.0,53092.0,19.0,9.0,13.4,0.0,0,0,2021,1.0
1,3,2.3,1.6,30.0,53329.0,11.0,4.0,14.3,0.0,0,0,2022,0.0
0,1,2.2,2.2,49.0,73358.0,23.0,6.0,15.3,0.0,0,0,2023,0.0
1,0,2.2,0.7,68.0,61729.0,20.0,6.0,20.3,0.0,1,1,2021,1.0
1,2,1.0,0.5,62.0,26885.0,17.0,5.0,18.8,0.0,0,0,2021,0.0
0,0,0.7,0.7,42.0,30000.0,11.0,2.0,14.2,0.0,0,0,2021,0.5
1,1,0.9,1.6,38.0,36475.0,8.0,4.0,16.5,1.0,0,0,2021,0.5
5,0,3.3,1.6,45.0,60238.0,27.0,10.0,16.3,0.0,0,0,2023,1.0
4,1,2.8,0.2,55.0,60298.0,18.0,7.0,13.8,0.0,0,0,2023,1.0
0,1,0.5,0.9,62.0,39125.0,6.0,1.0,16.5,1.0,0,0,2023,0.0
0,5,0.6,2.9,21.0,29522.0,6.0,1.0,18.7,0.0,0,0,2023,0.0
0,2,0.4,2.4,54.0,60111.0,6.0,3.0,15.1,0.0,0,0,2021,0.0
3,1,1.9,0.7,40.0,52186.0,20.0,9.0,14.0,1.0,0,0,2021,1.0
3,1,4.3,0.8,63.0,52234.0,22.0,5.0,13.3,0.0,0,0,2022,1.0
0,2,1.1,1.3,67.0,21578.0,17.0,5.0,13.3,0.0,0,0,2023,0.0
0,4,0.1,1.7,33.0,53453.0,3.0,1.0,20.6,0.0,0,0,2022,0.0
2,1,1.6,1.2,47.0,36417.0,20.0,6.0,18.2,2.0,0,0,2021,1.0
2,3,1.9,1.3,47.0,29404.0,17.0,4.0,14.7,0.0,1,1,2023,0.0
0,2,0.9,1.2,71.0,39280.0,16.0,4.0,18.5,1.0,0,0,2023,0.0
2,2,2.5,2.3,57.0,29164.0,20.0,5.0,18.5,1.0,1,1,2023,0.5
0,0,0.9,0.2,63.0,30631.0,8.0,1.0,14.9,0.0,0,0,2021,0.5
2,1,2.9,0.5,57.0,40126.0,26.0,10.0,17.2,0.0,0,0,2022,1.0
2,2,2.5,1.2,54.0,31124.0,16.0,6.0,14.8,2.0,0,0,2023,0.5
1,1,0.8,2.7,51.0,25103.0,8.0,2.0,11.9,0.0,0,0,2023,0.5
0,0,0.3,1.6,57.0,26911.0,5.0,2.0,17.0,0.0,0,0,2021,0.5
2,2,1.3,1.0,44.0,39723.0,10.0,4.0,20.4,0.0,1,1,2023,0.5
0,3,0.3,2.7,58.0,39150.0,7.0,0.0,24.1,0.0,0,0,2021,0.0
1,0,1.3,0.6,63.0,30789.0,13.0,2.0,14.6,0.0,0,0,2023,1.0
1,3,0.9,3.6,32.0,62475.0,6.0,3.0,12.1,0.0,0,0,2023,0.0
3,1,2.7,1.4,52.0,42085.0,16.0,9.0,17.0,0.0,0,0,2022,1.0
2,1,1.2,0.5,73.0,29387.0,19.0,3.0,17.6,0.0,0,0,2023,1.0
1,1,0.9,1.3,36.0,53177.0,8.0,3.0,17.5,0.0,0,0,2021,0.5
1,2,2.0,1.3,68.0,31641.0,16.0,4.0,17.4,1.0,0,0,2023,0.0
2,0,1.4,0.7,35.0,30548.0,13.0,4.0,21.2,0.0,1,1,2021,1.0
0,2,1.3,0.8,54.0,30814.0,14.0,2.0,18.3,0.0,0,0,2022,0.0
1,1,1.3,1.3,35.0,59626.0,14.0,5.0,22.6,0.0,0,0,2021,0.5
1,4,0.9,4.1,40.0,61726.0,8.0,5.0,23.5,1.0,0,0,2023,0.0
0,2,0.5,2.2,67.0,62470.0,5.0,2.0,14.7,0.0,0,0,2022,0.0
0,1,2.3,0.4,63.0,32230.0,20.0,3.0,15.0,0.0,0,1,2021,0.0
4,3,4.1,1.4,60.0,52199.0,22.0,7.0,17.6,0.0,2,2,2023,1.0
4,0,2.3,0.9,42.0,31637.0,17.0,5.0,15.9,0.0,0,0,2021,1.0
3,2,2.5,1.4,57.0,39959.0,14.0,4.0,20.0,2.0,2,2,2021,1.0
2,1,1.7,1.6,37.0,31078.0,11.0,4.0,16.9,2.0,1,1,2021,1.0
2,1,0.8,1.7,42.0,39252.0,7.0,4.0,18.6,0.0,0,0,2022,1.0
4,3,1.8,3.1,36.0,29154.0,8.0,3.0,16.0,0.0,1,1,2022,1.0
3,1,1.7,1.4,74.0,52143.0,14.0,4.0,15.8,1.0,0,0,2023,1.0
0,1,0.4,0.3,41.0,16518.0,7.0,1.0,20.3,0.0,0,0,2021,0.0
4,1,2.2,2.1,53.0,31317.0,16.0,8.0,15.6,0.0,0,0,2023,1.0
1,2,2.9,0.9,67.0,39289.0,23.0,4.0,14.4,0.0,0,0,2023,0.0
1,1,2.0,0.6,40.0,11630.0,16.0,3.0,22.0,2.0,0,0,2023,0.5
2,0,1.0,0.8,53.0,17115.0,9.0,5.0,18.7,0.0,0,0,2023,1.0
2,2,2.3,2.3,54.0,31752.0,13.0,3.0,18.8,0.0,1,1,2023,0.5
2,0,1.7,0.8,50.0,62449.0,10.0,1.0,18.8,0.0,1,1,2022,1.0
2,2,2.0,1.7,41.0,32190.0,14.0,4.0,15.6,0.0,0,0,2021,0.5
5,1,3.6,0.5,73.0,53013.0,20.0,7.0,14.6,0.0,1,1,2021,1.0
1,3,1.0,1.7,44.0,73592.0,14.0,4.0,18.6,1.0,0,0,2023,0.0
1,0,2.1,0.2,67.0,25844.0,13.0,3.0,19.0,1.0,1,1,2022,1.0
3,2,0.8,1.1,43.0,38448.0,12.0,6.0,18.5,1.0,0,0,2021,1.0
1,0,0.5,1.8,53.0,36700.0,9.0,4.0,16.6,1.0,0,0,2022,1.0
3,2,1.2,1.2,38.0,20051.0,13.0,7.0,17.9,0.0,0,0,2021,1.0
5,0,2.3,0.4,69.0,60263.0,24.0,9.0,16.0,1.0,0,0,2022,1.0
2,2,1.8,1.8,33.0,17140.0,14.0,5.0,14.5,0.0,0,0,2023,0.5
2,0,2.4,0.5,48.0,11201.0,19.0,10.0,14.9,0.0,0,0,2023,1.0
0,6,0.8,3.3,43.0,31584.0,10.0,2.0,18.7,0.0,0,0,2022,0.0
2,1,2.8,1.4,41.0,,12.0,5.0,18.2,4.0,0,0,2022,1.0
1,1,1.3,1.6,32.0,52178.0,13.0,8.0,22.6,0.0,0,0,2021,0.5
2,2,0.6,3.2,29.0,59961.0,8.0,3.0,17.8,0.0,0,0,2023,0.5
2,1,0.9,2.0,41.0,52214.0,9.0,4.0,17.2,1.0,0,0,2023,1.0
4,0,1.4,0.6,64.0,31596.0,14.0,6.0,17.0,1.0,0,0,2023,1.0
2,0,1.3,0.4,56.0,53419.0,11.0,3.0,15.8,2.0,0,0,2022,1.0
0,1,1.1,1.0,23.0,24467.0,7.0,2.0,10.0,0.0,0,0,2023,0.0
1,2,1.4,1.8,40.0,41919.0,9.0,4.0,13.7,0.0,0,0,2021,0.0
4,1,4.0,1.5,70.0,31872.0,26.0,11.0,17.0,0.0,1,1,2023,1.0
2,0,2.3,0.4,59.0,53027.0,15.0,6.0,16.7,1.0,0,0,2022,1.0
3,2,2.1,1.4,37.0,17025.0,13.0,5.0,19.8,2.0,1,1,2022,1.0
5,0,3.4,0.5,59.0,27022.0,19.0,12.0,14.9,0.0,0,0,2021,1.0
3,1,1.8,2.5,25.0,62451.0,11.0,5.0,19.6,0.0,1,1,2023,1.0
3,2,1.5,2.3,48.0,11041.0,12.0,8.0,17.5,0.0,0,0,2023,1.0
1,1,1.1,0.9,36.0,31219.0,11.0,2.0,14.4,0.0,0,0,2021,0.5
0,2,0.2,1.3,37.0,42076.0,6.0,2.0,22.0,0.0,0,0,2022,0.0
0,3,0.9,1.9,49.0,24433.0,12.0,2.0,17.7,0.0,0,0,2021,0.0
2,5,1.4,2.6,47.0,31185.0,6.0,4.0,14.8,0.0,0,0,2022,0.0
2,1,0.5,1.7,37.0,31587.0,11.0,3.0,19.4,1.0,0,0,2021,1.0
1,0,1.5,0.7,47.0,32226.0,9.0,2.0,16.8,0.0,0,0,2022,1.0
1,4,0.5,2.7,31.0,53165.0,5.0,2.0,14.1,0.0,0,0,2021,0.0
1,1,1.0,1.0,69.0,36338.0,14.0,5.0,16.9,0.0,0,0,2022,0.5
0,3,1.4,1.6,50.0,27023.0,14.0,3.0,17.1,0.0,0,0,2021,0.0
1,2,2.6,0.8,52.0,30860.0,23.0,6.0,14.1,0.0,0,0,2023,0.0
0,1,0.4,2.0,48.0,39998.0,8.0,2.0,17.2,0.0,0,0,2022,0.0
1,2,1.7,2.0,55.0,30510.0,22.0,6.0,16.4,1.0,0,0,2022,0.0
1,2,0.6,1.2,42.0,31531.0,9.0,6.0,17.4,0.0,0,0,2023,0.0
0,5,1.6,3.3,55.0,60238.0,7.0,1.0,13.0,1.0,0,0,2023,0.0
3,1,1.5,1.3,40.0,73431.0,10.0,6.0,15.5,0.0,0,0,2022,1.0
3,0,3.7,0.5,45.0,24236.0,16.0,7.0,13.8,1.0,1,1,2023,1.0
1,1,0.9,1.7,56.0,20687.0,20.0,8.0,18.4,1.0,0,0,2023,0.5
3,0,1.1,1.2,33.0,20782.0,7.0,2.0,15.7,1.0,0,0,2021,1.0
1,2,0.5,1.2,27.0,29387.0,9.0,3.0,18.7,0.0,0,0,2023,0.0
0,1,0.6,0.8,59.0,28509.0,10.0,4.0,16.7,0.0,0,0,2023,0.0
3,2,1.5,1.2,71.0,30732.0,19.0,8.0,17.2,3.0,0,0,2022,1.0
0,3,0.4,1.3,33.0,36549.0,5.0,0.0,19.3,0.0,0,0,2021,0.0
0,2,0.8,0.9,58.0,30309.0,11.0,4.0,18.0,0.0,0,0,2022,0.0
1,3,0.5,1.2,60.0,59482.0,6.0,2.0,20.4,0.0,0,0,2021,0.0
0,2,0.7,1.4,65.0,30548.0,14.0,3.0,22.3,2.0,0,0,2021,0.0
1,0,1.1,0.2,50.0,11058.0,11.0,6.0,18.7,2.0,0,0,2023,1.0
3,1,1.7,0.8,55.0,60144.0,16.0,9.0,13.0,0.0,0,0,2022,1.0
0,3,0.8,1.5,68.0,25149.0,12.0,3.0,18.5,0.0,0,0,2021,0.0
0,0,2.8,1.0,52.0,51863.0,23.0,5.0,12.8,1.0,0,0,2022,0.5
0,1,0.3,1.9,43.0,73130.0,6.0,1.0,17.9,0.0,0,0,2021,0.0
0,3,0.8,2.3,45.0,24426.0,12.0,2.0,17.4,0.0,0,0,2022,0.0
1,0,0.4,0.5,49.0,60233.0,12.0,2.0,19.2,0.0,0,0,2023,1.0
3,3,1.9,1.5,60.0,18028.0,18.0,8.0,16.4,1.0,0,0,2021,0.5
1,1,0.6,2.0,60.0,11630.0,10.0,4.0,18.5,0.0,0,0,2023,0.5
1,1,0.6,3.2,53.0,17138.0,11.0,5.0,22.5,0.0,0,0,2023,0.5
2,1,1.7,0.6,66.0,59249.0,24.0,7.0,16.0,0.0,0,0,2021,1.0
1,3,1.4,1.0,54.0,25472.0,9.0,4.0,16.0,0.0,0,0,2023,0.0
0,2,1.3,0.7,64.0,32209.0,16.0,8.0,17.3,2.0,0,0,2021,0.0
4,0,2.3,0.7,72.0,19439.0,11.0,5.0,18.1,0.0,0,0,2021,1.0
2,2,1.1,1.3,53.0,59751.0,9.0,2.0,15.2,0.0,0,0,2021,0.5
5,1,2.5,1.4,59.0,20257.0,13.0,7.0,16.4,0.0,0,0,2021,1.0
1,3,1.7,2.3,50.0,61780.0,24.0,4.0,17.2,1.0,0,0,2023,0.0
0,0,0.2,0.7,35.0,30328.0,6.0,1.0,21.3,0.0,0,0,2021,0.5
2,3,1.1,2.1,68.0,39647.0,18.0,9.0,18.6,1.0,0,0,2023,0.0
3,1,2.6,0.4,58.0,41907.0,8.0,2.0,17.6,1.0,2,2,2021,1.0
0,1,1.3,1.1,47.0,38851.0,15.0,7.0,13.8,0.0,0,0,2023,0.0
4,2,1.9,1.1,75.0,25132.0,18.0,8.0,16.1,0.0,0,0,2023,1.0
1,0,2.7,0.1,66.0,30729.0,17.0,4.0,13.6,0.0,0,0,2021,1.0
0,3,1.6,4.4,43.0,73578.0,19.0,3.0,19.0,1.0,0,0,2022,0.0
1,0,0.8,1.2,51.0,30546.0,7.0,2.0,12.9,0.0,0,0,2022,1.0
0,3,0.4,1.1,41.0,31578.0,6.0,1.0,19.6,2.0,0,0,2022,0.0
0,2,0.7,0.8,50.0,30141.0,16.0,5.0,17.1,0.0,0,0,2021,0.0
3,1,2.5,0.6,63.0,31507.0,26.0,8.0,17.4,0.0,0,0,2022,1.0
1,3,0.3,1.8,37.0,60232.0,8.0,5.0,19.3,0.0,0,0,2023,0.0
1,1,0.8,1.0,40.0,16997.0,15.0,5.0,16.9,1.0,0,0,2023,0.5
1,1,1.7,0.7,61.0,38164.0,19.0,4.0,16.4,1.0,0,0,2023,0.5
1,0,1.5,0.7,61.0,40075.0,15.0,5.0,14.8,0.0,0,0,2022,1.0
1,2,1.2,1.3,44.0,53076.0,14.0,3.0,18.0,0.0,0,0,2021,0.0
4,1,2.7,0.5,69.0,53165.0,24.0,10.0,15.2,1.0,0,0,2021,1.0
2,0,1.3,1.1,33.0,21578.0,4.0,3.0,13.9,0.0,0,0,2023,1.0
2,1,1.2,1.7,76.0,25103.0,14.0,2.0,17.4,0.0,0,0,2023,1.0
5,0,3.3,0.5,75.0,21085.0,19.0,8.0,16.0,0.0,0,0,2021,1.0
0,3,0.4,2.0,39.0,35497.0,4.0,3.0,24.4,0.0,0,0,2021,0.0
3,0,2.0,0.7,49.0,17051.0,14.0,3.0,12.1,0.0,0,0,2022,1.0
2,2,1.0,1.6,37.0,39946.0,10.0,5.0,13.4,0.0,0,0,2022,0.5
5,1,3.1,1.5,60.0,52196.0,19.0,6.0,16.0,0.0,1,1,2023,1.0
2,0,1.5,0.9,55.0,17825.0,22.0,6.0,17.7,1.0,0,0,2021,1.0
1,3,1.8,1.7,74.0,11138.0,19.0,4.0,17.3,0.0,1,1,2023,0.0
2,2,1.0,1.2,37.0,35639.0,9.0,3.0,16.7,1.0,0,0,2021,0.5
1,1,1.4,0.8,49.0,11873.0,9.0,2.0,18.7,0.0,1,1,2023,0.5
2,2,1.1,2.4,22.0,59972.0,6.0,2.0,13.7,0.0,0,0,2021,0.5
3,0,1.6,1.4,50.0,27023.0,19.0,6.0,17.3,1.0,0,0,2021,1.0
1,1,1.0,0.7,59.0,31145.0,12.0,3.0,17.2,0.0,0,0,2022,0.5
5,0,3.4,1.6,62.0,73088.0,19.0,8.0,16.6,0.0,0,0,2021,1.0
1,3,0.6,2.5,37.0,31507.0,5.0,1.0,13.8,1.0,0,0,2022,0.0
0,4,0.4,1.7,57.0,25190.0,7.0,2.0,16.7,1.0,0,0,2023,0.0
1,0,1.2,1.0,40.0,16957.0,5.0,3.0,18.9,0.0,1,1,2021,1.0
1,1,1.9,0.9,47.0,20650.0,20.0,6.0,17.9,1.0,0,0,2021,0.5
2,0,1.4,0.4,64.0,28978.0,9.0,3.0,17.5,0.0,0,0,2022,1.0
3,2,1.8,1.7,54.0,62470.0,16.0,6.0,18.0,1.0,0,0,2023,1.0
1,1,1.6,1.3,68.0,52178.0,13.0,3.0,17.9,0.0,0,0,2021,0.5
0,3,0.5,3.3,45.0,60348.0,7.0,2.0,20.4,1.0,0,0,2023,0.0
3,3,1.5,1.5,31.0,42118.0,8.0,3.0,16.5,2.0,0,0,2023,0.5
2,1,1.6,1.2,52.0,61445.0,16.0,6.0,17.1,1.0,0,0,2023,1.0
0,1,0.3,1.4,57.0,62498.0,9.0,3.0,21.1,0.0,0,0,2022,0.0
1,2,1.4,1.2,52.0,42164.0,4.0,1.0,20.3,0.0,1,1,2022,0.0
3,0,1.5,0.2,49.0,36400.0,15.0,9.0,19.6,1.0,0,0,2021,1.0
3,1,2.3,0.5,70.0,41785.0,17.0,6.0,14.5,0.0,0,0,2023,1.0
1,3,0.6,2.2,40.0,24361.0,5.0,2.0,16.6,0.0,0,0,2023,0.0
2,1,1.5,1.5,61.0,31571.0,18.0,7.0,16.1,0.0,0,0,2023,1.0
1,1,1.9,1.4,57.0,10248.0,20.0,5.0,17.9,0.0,0,0,2022,0.5
